"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2023","8,350","8,350","8,365","8,305","476.10K","0.00%"
"01/12/2023","8,350","8,295","8,355","8,295","639.49K","2.64%"
"01/11/2023","8,135","8,060","8,160","8,060","412.34K","1.31%"
"01/10/2023","8,030","8,030","8,040","7,965","566.19K","0.25%"
"01/09/2023","8,010","8,055","8,065","7,975","576.19K","0.69%"
"01/06/2023","7,955","7,990","8,015","7,915","797.58K","-1.61%"
"01/05/2023","8,085","8,170","8,170","8,045","0.00K","-1.16%"
"01/04/2023","8,180","8,145","8,185","8,145","358.74K","-0.49%"
"01/03/2023","8,220","8,165","8,240","8,145","639.79K","1.23%"
"01/02/2023","8,120","8,065","8,180","8,065","558.87K","2.07%"
"12/29/2022","7,955","7,945","8,045","7,935","596.45K","-1.12%"
"12/28/2022","8,045","8,085","8,085","8,035","0.01K","-2.96%"
"12/27/2022","8,290","8,360","8,370","8,260","0.00K","-0.72%"
"12/26/2022","8,350","8,285","8,350","8,280","274.09K","0.85%"
"12/23/2022","8,280","8,350","8,405","8,260","799.17K","-2.82%"
"12/22/2022","8,520","8,560","8,580","8,515","345.34K","0.24%"
"12/21/2022","8,500","8,460","8,545","8,460","592.68K","0.89%"
"12/20/2022","8,425","8,685","8,685","8,415","1.61M","-4.32%"
"12/19/2022","8,805","8,850","8,850","8,750","0.00K","-1.07%"
"12/18/2022","8,900","8,900","8,900","8,900","","0.00%"
"12/16/2022","8,900","9,000","9,000","8,890","1.09M","-3.05%"
"12/15/2022","9,180","9,150","9,190","9,140","328.03K","-0.70%"
"12/14/2022","9,245","9,175","9,265","9,175","253.02K","1.04%"
"12/13/2022","9,150","9,105","9,170","9,095","299.20K","1.27%"
"12/12/2022","9,035","9,070","9,075","9,025","0.00K","-0.66%"
"12/11/2022","9,095","9,095","9,095","9,095","","0.00%"
"12/09/2022","9,095","9,175","9,175","9,070","379.95K","0.17%"
"12/08/2022","9,080","9,165","9,185","9,040","500.25K","-1.30%"
"12/07/2022","9,200","9,300","9,300","9,160","0.00K","-2.02%"
"12/06/2022","9,390","9,290","9,390","9,290","309.05K","0.00%"
"12/05/2022","9,390","9,445","9,450","9,370","247.72K","-0.63%"
"12/02/2022","9,450","9,495","9,495","9,435","164.90K","-0.47%"
"12/01/2022","9,495","9,490","9,525","9,465","446.56K","4.11%"
"11/30/2022","9,120","9,285","9,285","9,105","765.53K","-2.25%"
"11/29/2022","9,330","9,385","9,385","9,285","417.50K","-0.85%"
"11/28/2022","9,410","9,480","9,480","9,380","0.00K","-1.05%"
"11/27/2022","9,510","9,510","9,510","9,510","","0.00%"
"11/25/2022","9,510","9,515","9,595","9,475","440.96K","-0.21%"
"11/24/2022","9,530","9,550","9,605","9,525","321.68K","0.21%"
"11/23/2022","9,510","9,485","9,515","9,480","304.34K","1.22%"
"11/22/2022","9,395","9,480","9,495","9,390","497.47K","-1.47%"
"11/21/2022","9,535","9,495","9,535","9,475","247.99K","0.53%"
"11/20/2022","9,485","9,485","9,485","9,485","","0.00%"
"11/18/2022","9,485","9,555","9,565","9,475","328.95K","-0.84%"
"11/17/2022","9,565","9,475","9,570","9,475","549.45K","0.37%"
"11/16/2022","9,530","9,470","9,535","9,435","681.84K","1.01%"
"11/15/2022","9,435","9,380","9,450","9,360","619.73K","-0.16%"
"11/14/2022","9,450","9,370","9,475","9,350","864.20K","1.39%"
"11/11/2022","9,320","9,500","9,600","9,275","1.13M","4.25%"
"11/10/2022","8,940","8,805","8,940","8,805","941.88K","-1.70%"
"11/09/2022","9,095","9,200","9,200","9,040","1.52M","-0.66%"
"11/08/2022","9,155","9,230","9,250","9,155","971.02K","-0.38%"
"11/07/2022","9,190","9,200","9,230","9,135","1.14M","-0.54%"
"11/06/2022","9,240","9,240","9,240","9,240","","0.00%"
"11/04/2022","9,240","9,255","9,255","9,180","2.30M","-2.43%"
"11/03/2022","9,470","9,565","9,565","9,450","0.02K","-3.96%"
